row,is_original_text_match,code,oem,name,brand,model,generation,manufacturer,qty,dealer_price,currency
1,no,000010,84927FJ010,ტუმანიკის სამაგრი (RH),Subaru,XV,XV 12-15,Suo Lun,0,40.0,GEL
2,no,000011,84927FJ020,ტუმანიკის სამაგრი (LH),Subaru,XV,XV 12-15,Suo Lun,0,50.0,GEL
3,no,000012,84001FJ080,წინა ფარი (LH),Subaru,XV,XV 12-17,Suo Lun,0,200.0,GEL
4,no,000013,84001FJ090,წინა ფარი (RH),Subaru,XV,XV 12-17,Suo Lun,0,200.0,GEL
5,no,000014,84001FJ090BK,წინა ფარი (LH) შავი,Subaru,XV,XV 12-17,Suo Lun,0,250.0,GEL
6,no,000015,,წინა ფარი (RH) შავი,Subaru,XV,XV 12-17,Suo Lun,1,250.0,GEL
7,no,000016,57704FJ040,უკანა ბამპერი,Subaru,XV,XV 12-17,Suo Lun,0,270.0,GEL
8,no,000017,91122FJ020,ცხაურა (სტანდარტული),Subaru,XV,XV 12-17,Suo Lun,0,320.0,GEL
9,no,000018,84913FG420,სანისლე უკანა სტოპი,Subaru,XV,XV 12-17,Suo Lun,0,70.0,GEL
10,no,000019,J1010FJ010V2,ცხაურა (შავი),Subaru,XV,XV 12-17,Suo Lun,0,450.0,GEL
11,no,000020,J1010FJ010I6,ცხაურა (სტაფილოსფერი),Subaru,XV,XV 12-17,Suo Lun,0,450.0,GEL
12,no,000021,J1010FJ010E1,ცხაურა (ლურჯი),Subaru,XV,XV 12-17,Suo Lun,0,450.0,GEL
13,no,000022,J1010FJ010WU,ცხაურა (თეთრი),Subaru,XV,XV 12-17,Suo Lun,0,450.0,GEL
14,no,000023,91059AJ200,სარკის ზედა ხუფი (RH) პავაროდნიკიანი,Subaru,XV,XV 12-17,Suo Lun,48,40.0,GEL
15,no,000024,91059AJ210,სარკის ზედა ხუფი (LH) პავაროდნიკიანი,Subaru,XV,XV 12-17,Suo Lun,29,40.0,GEL
16,no,000025,91054AJ220,სარკის ქვედა ხუფი (RH),Subaru,Forester,Forester 12-18,Suo Lun,28,35.0,GEL
17,no,000026,91054AJ230,სარკის ქვედა ხუფი (LH),Subaru,Forester,Forester 12-18,Suo Lun,39,35.0,GEL
18,no,000027,57707FJ000,წინა ფარის სალასკა (RH),Subaru,XV,XV 12-17,Suo Lun,12,20.0,GEL
19,no,000028,57707FJ010,წინა ფარის სალასკა (LH),Subaru,XV,XV 12-17,Suo Lun,0,20.0,GEL
20,no,000029,57707FJ140,წინა კრილოს სალასკა (RH),Subaru,XV,XV 12-17,Suo Lun,15,10.0,GEL
21,no,000030,57707FJ150,წინა კრილოს სალასკა (LH),Subaru,XV,XV 12-17,Suo Lun,11,10.0,GEL
22,no,000031,86631FJ140,წყლის ავზი,Subaru,XV,XV 12-17,Suo Lun,0,90.0,GEL
23,no,000032,59110FJ040,პადკრილნიკი (RH),Subaru,XV,XV 12-17,Suo Lun,0,35.0,GEL
24,no,000033,59110FJ050,პადკრილნიკი (LH),Subaru,XV,XV 12-17,Suo Lun,3,35.0,GEL
25,no,000034,J101CFJ250,ბრიზგავიკი  ( ზბორი ),Subaru,XV,XV 12-17,Suo Lun,0,60.0,GEL
