code,oem,name,brand,model,generation,manufacturer,qty,dealer_price,currency
000010,84927FJ010,ტუმანიკის სამაგრი (RH),Subaru,XV,XV 12-15,Suo Lun,0,40.0,GEL
000011,84927FJ020,ტუმანიკის სამაგრი (LH),Subaru,XV,XV 12-15,Suo Lun,0,50.0,GEL
000012,84001FJ080,წინა ფარი (LH),Subaru,XV,XV 12-17,Suo Lun,0,200.0,GEL
000013,84001FJ090,წინა ფარი (RH),Subaru,XV,XV 12-17,Suo Lun,0,200.0,GEL
000014,84001FJ090BK,წინა ფარი (LH) შავი,Subaru,XV,XV 12-17,Suo Lun,0,250.0,GEL
000015,,წინა ფარი (RH) შავი,Subaru,XV,XV 12-17,Suo Lun,1,250.0,GEL
000016,57704FJ040,უკანა ბამპერი,Subaru,XV,XV 12-17,Suo Lun,0,270.0,GEL
000017,91122FJ020,ცხაურა (სტანდარტული),Subaru,XV,XV 12-17,Suo Lun,0,320.0,GEL
000018,84913FG420,სანისლე უკანა სტოპი,Subaru,XV,XV 12-17,Suo Lun,0,70.0,GEL
000019,J1010FJ010V2,ცხაურა (შავი),Subaru,XV,XV 12-17,Suo Lun,0,450.0,GEL
000020,J1010FJ010I6,ცხაურა (სტაფილოსფერი),Subaru,XV,XV 12-17,Suo Lun,0,450.0,GEL
000021,J1010FJ010E1,ცხაურა (ლურჯი),Subaru,XV,XV 12-17,Suo Lun,0,450.0,GEL
000022,J1010FJ010WU,ცხაურა (თეთრი),Subaru,XV,XV 12-17,Suo Lun,0,450.0,GEL
000023,91059AJ200,სარკის ზედა ხუფი (RH) პავაროდნიკიანი,Subaru,XV,XV 12-17,Suo Lun,48,40.0,GEL
000024,91059AJ210,სარკის ზედა ხუფი (LH) პავაროდნიკიანი,Subaru,XV,XV 12-17,Suo Lun,29,40.0,GEL
000025,91054AJ220,სარკის ქვედა ხუფი (RH),Subaru,Forester,Forester 12-18,Suo Lun,31,35.0,GEL
000026,91054AJ230,სარკის ქვედა ხუფი (LH),Subaru,Forester,Forester 12-18,Suo Lun,43,35.0,GEL
000027,57707FJ000,წინა ფარის სალასკა (RH),Subaru,XV,XV 12-17,Suo Lun,12,20.0,GEL
000028,57707FJ010,წინა ფარის სალასკა (LH),Subaru,XV,XV 12-17,Suo Lun,0,20.0,GEL
000029,57707FJ140,წინა კრილოს სალასკა (RH),Subaru,XV,XV 12-17,Suo Lun,16,10.0,GEL
000030,57707FJ150,წინა კრილოს სალასკა (LH),Subaru,XV,XV 12-17,Suo Lun,11,10.0,GEL
000031,86631FJ140,წყლის ავზი,Subaru,XV,XV 12-17,Suo Lun,0,90.0,GEL
000032,59110FJ040,პადკრილნიკი (RH),Subaru,XV,XV 12-17,Suo Lun,0,35.0,GEL
000033,59110FJ050,პადკრილნიკი (LH),Subaru,XV,XV 12-17,Suo Lun,3,35.0,GEL
000034,J101CFJ250,ბრიზგავიკი  ( ზბორი ),Subaru,XV,XV 12-17,Suo Lun,0,60.0,GEL
000035,57120FJ060,წინა კრილო (LH),Subaru,XV,XV 12-17,Suo Lun,0,100.0,GEL
000036,57120FJ050,წინა კრილო (RH),Subaru,XV,XV 12-17,Suo Lun,0,100.0,GEL
000037,84912FJ040,უკანა სტოპი (RH),Subaru,XV,XV 12-17,Suo Lun,1,140.0,GEL
000038,84912FJ050,უკანა სტოპი (LH),Subaru,XV,XV 12-17,Suo Lun,0,140.0,GEL
000039,91112FJ100,წინა კრილოს მოლდინგი (RH),Subaru,XV,XV 12-17,Suo Lun,25,100.0,GEL
000040,91112FJ110,წინა კრილოს მოლდინგი (LH),Subaru,XV,XV 12-17,Suo Lun,31,100.0,GEL
000041,91112FJ120,უკანა კრილოს მოლდინგი (RH),Subaru,XV,XV 12-17,Suo Lun,22,110.0,GEL
000042,91112FJ130,უკანა კრილოს მოლდინგი (LH),Subaru,XV,XV 12-17,Suo Lun,12,110.0,GEL
000043,57731FG010,უკანა საბუქსირე ხუფი,Subaru,XV,XV 12-17,Suo Lun,129,10.0,GEL
000044,56410AG231,ძრავის დამცავი,Subaru,XV,XV 12-17,Suo Lun,19,75.0,GEL
000045,53029FJ000,ეკრანი,Subaru,XV,XV 12-17,Suo Lun,16,100.0,GEL
000046,57711FJ050,წინა ბალკა,Subaru,XV,XV 12-17,Suo Lun,18,100.0,GEL
000047,42048-16,წყლის რადიატორი,Subaru,XV,XV 12-17,Suo Lun,0,250.0,GEL
000048,57229FJ0009P,კაპოტი,Subaru,XV,XV 12-17,Gordon,0,380.0,GEL
000049,57120FJ0619P,წინა კრილო (LH),Subaru,XV,XV 12-17,Gordon,0,160.0,GEL
000050,57120FJ0509P,წინა კრილო (RH),Subaru,XV,XV 12-17,Gordon,0,160.0,GEL
000051,57707FJ160,უკანა კრილოს სალასკა (RH),Subaru,XV,XV 12-17,Suo Lun,0,15.0,GEL
000052,57707FJ170,უკანა კრილოს სალასკა (LH),Subaru,XV,XV 12-17,Suo Lun,0,15.0,GEL
