row,is_original_text_match,code,oem,name,brand,model,generation,manufacturer,qty,dealer_price,currency
1,no,000015,,წინა ფარი (RH) შავი,Subaru,XV,XV 12-17,Suo Lun,1,250.0,GEL
2,no,000023,91059AJ200,სარკის ზედა ხუფი (RH) პავაროდნიკიანი,Subaru,XV,XV 12-17,Suo Lun,48,40.0,GEL
3,no,000024,91059AJ210,სარკის ზედა ხუფი (LH) პავაროდნიკიანი,Subaru,XV,XV 12-17,Suo Lun,29,40.0,GEL
4,no,000025,91054AJ220,სარკის ქვედა ხუფი (RH),Subaru,Forester,Forester 12-18,Suo Lun,28,35.0,GEL
5,no,000026,91054AJ230,სარკის ქვედა ხუფი (LH),Subaru,Forester,Forester 12-18,Suo Lun,39,35.0,GEL
6,no,000027,57707FJ000,წინა ფარის სალასკა (RH),Subaru,XV,XV 12-17,Suo Lun,12,20.0,GEL
7,no,000029,57707FJ140,წინა კრილოს სალასკა (RH),Subaru,XV,XV 12-17,Suo Lun,15,10.0,GEL
8,no,000030,57707FJ150,წინა კრილოს სალასკა (LH),Subaru,XV,XV 12-17,Suo Lun,11,10.0,GEL
9,no,000033,59110FJ050,პადკრილნიკი (LH),Subaru,XV,XV 12-17,Suo Lun,3,35.0,GEL
10,no,000037,84912FJ040,უკანა სტოპი (RH),Subaru,XV,XV 12-17,Suo Lun,1,140.0,GEL
11,no,000039,91112FJ100,წინა კრილოს მოლდინგი (RH),Subaru,XV,XV 12-17,Suo Lun,25,100.0,GEL
12,no,000040,91112FJ110,წინა კრილოს მოლდინგი (LH),Subaru,XV,XV 12-17,Suo Lun,31,100.0,GEL
13,no,000041,91112FJ120,უკანა კრილოს მოლდინგი (RH),Subaru,XV,XV 12-17,Suo Lun,22,110.0,GEL
14,no,000042,91112FJ130,უკანა კრილოს მოლდინგი (LH),Subaru,XV,XV 12-17,Suo Lun,12,110.0,GEL
15,no,000043,57731FG010,უკანა საბუქსირე ხუფი,Subaru,XV,XV 12-17,Suo Lun,124,10.0,GEL
16,no,000044,56410AG231,ძრავის დამცავი,Subaru,XV,XV 12-17,Suo Lun,19,75.0,GEL
17,no,000045,53029FJ000,ეკრანი,Subaru,XV,XV 12-17,Suo Lun,16,100.0,GEL
18,no,000046,57711FJ050,წინა ბალკა,Subaru,XV,XV 12-17,Suo Lun,18,100.0,GEL
19,no,000053,42049,წყლის რადიატორი,Subaru,Forester,Forester 12-18,Suo Lun,792,100.0,GEL
